"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"139","139","skerry2013","5_unconstrainedactionhabituation",122,7.7,9.733333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",2.033333
"140","140","skerry2013","5_unconstrainedactionhabituation",105,17.666667,10.633333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-7.033334
"141","141","skerry2013","5_unconstrainedactionhabituation",118,5.366667,7.266667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",1.9
"142","142","skerry2013","5_unconstrainedactionhabituation",102,16.266667,16.3,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",0.0333329999999989
"143","143","skerry2013","5_unconstrainedactionhabituation",122,6.6,10.066667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",3.466667
"144","144","skerry2013","5_unconstrainedactionhabituation",110,6.033333,25.966667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",19.933334
"145","145","skerry2013","5_unconstrainedactionhabituation",114,10.466667,11.066667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",0.600000000000001
"146","146","skerry2013","5_unconstrainedactionhabituation",100,14.833333,12.633333,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-2.2
"147","147","skerry2013","5_unconstrainedactionhabituation",100,9.7,14.4,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",4.7
"148","148","skerry2013","5_unconstrainedactionhabituation",96,32.3,26.066667,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-6.233333
